79,"Beinn a' Chaorainn",1052,350304,"Beinn A' Chaorainn (Highland)",56.9255,-4.6546,1050.0,354.4
80,"Glas Tulaichean",1051,351579,"Glas Tulaichean",56.8662,-3.5531,1051.0,312.5
81,"Geal Charn",1049,351552,"Geal Charn (1049m)",56.8979,-4.4593,1049.0,126.3
82,"Sgurr Fuar-thuill",1049,353432,"Sgurr Fhuar-Thuill",57.4495,-4.9412,1049.0,40.1
83,"Carn an t-Sagairt Mor",1047,350780,"Carn An T-Sagairt Mor",56.9433,-3.3013,1047.0,122.4
84,"Creag Mhor",1047,351068,"Creag Mhor",56.4939,-4.6131,1032.0,491.4
85,"Ben Wyvis* Glas Leathad Mor",1046,351577,"Glas Leathad Mor",57.6816,-4.5753,1046.0,382.8
86,"Chno Dearg",1046,350911,"Chno Dearg",56.8282,-4.6578,1047.0,279.3
87,"Cruach Ardrain",1046,351115,"Cruach Ardrain",56.3548,-4.5815,1045.0,376
88,"Beinn Iutharn Mhor",1045,350330,"Beinn Iutharn Mhor",56.8941,-3.5628,1045.0,344.4
89,"Meall nan Tarmachan",1044,352595,"Meall Nan Tarmachan",56.5201,-4.3013,1043.0,172.9
90,"Stob Coire 'an Albannaich",1044,353685,"Stob Coir' An Albannaich",56.5546,-4.9811,1044.0,86.7
91,"Carn Mairg",1041,350794,"Carn Mairg",56.6348,-4.1442,1042.0,87.6
92,"Sgurr na Ciche",1040,353440,"Sgurr Na Ciche",57.0127,-5.4529,1040.0,253.6
93,"Meall Ghaordie",1039,352586,"Meall Ghaordie",56.5256,-4.4139,1039.0,170.5
94,"Beinn Achaladair",1038,350311,"Beinn Achaladair",56.5496,-4.6897,1038.0,390
95,"Carn a' Mhaim",1037,350777,"Carn A' Mhaim",57.0364,-3.6533,1037.0,313
96,"Sgurr a' Bhealaich Dheirg",1036,353414,"Sgurr A' Bhealaich Dheirg",57.1751,-5.2532,1038.0,309.2
97,"Gleouraich",1035,351606,"Gleouraich",57.0957,-5.2347,1035.0,258.9
98,"Carn Dearg",1034,350784,"Carn Dearg (1034m)",56.8533,-4.4549,1034.0,216.1
99,"Am Bodach",1032,350082,"Am Bodach",56.7428,-4.9823,1032.0,136.7
100,"Beinn Fhada",1032,350324,"Beinn Fhada",57.221,-5.2825,1032.0,61.3
101,"Ben Oss",1029,350378,"Ben Oss",56.3893,-4.773,1028.0,153.2
102,"Carn an Righ",1029,350779,"Carn An Righ",56.8779,-3.5866,1029.0,547.4
103,"Carn Gorm",1029,350790,"Carn Gorm",56.6221,-4.2223,1029.0,234.2
104,"Sgurr a' Mhaoraich",1027,353420,"Sgurr A' Mhaoraich",57.1058,-5.3263,1027.0,250.9
105,"Sgurr na Ciste Duibhe",1027,353441,"Sgurr Na Ciste Duibhe",57.1778,-5.3329,1027.0,431.5
106,"Ben Challum",1025,350366,"Ben Challum",56.4536,-4.6194,1022.0,108.1
107,"Sgorr Dhearg (Beinn a' Bheithir)",1024,353410,"Sgorr Dhearg",56.6531,-5.1723,1024.0,103.3
108,"Mullach an Rathain (Liathach)",1023,352716,"Mullach An Rathain",57.5632,-5.4941,1023.0,272.9
109,"Aonach air Chrith",1021,350116,"Aonach Air Chrith",57.123,-5.2228,1021.0,203.8
110,"Buachaille Etive Mor* Stob Dearg",1021,353691,"Stob Dearg",56.6483,-4.8996,1022.0,234.6
111,"Ladhar Bheinn",1020,352189,"Ladhar Bheinn",57.0758,-5.5889,1020.0,182
112,"Beinn Bheoil",1019,350313,"Beinn Bheoil",56.8137,-4.4284,1019.0,144.6
113,"Carn an Tuirc",1019,350781,"Carn An Tuirc",56.9094,-3.3592,1019.0,176.9
114,"Mullach Clach a' Bhlair",1019,352717,"Mullach Clach A' Bhlair",57.0099,-3.8384,1019.0,280.4
115,"Mullach Coire Mhic Fhearchair",1018,352718,"Mullach Coire Mhic Fhearchair",57.7112,-5.274,1019.0,289.1
116,"Garbh Chioch Mhor",1013,351538,"Garbh Chioch Mhor",57.0083,-5.4432,1013.0,74.6
117,"Cairn Bannoch",1012,350712,"Cairn Bannoch",56.9274,-3.2833,1012.0,299.3
118,"Ben Ime",1011,350329,"Beinn Ime",56.234,-4.8131,1011.0,401.6
119,"Beinn Udlamain",1011,350343,"Beinn Udlamain",56.8338,-4.3269,1010.0,261.1
120,"Beinn Eighe (Ruadh-stac Mor)",1010,353276,"Ruadh-Stac Mor",57.5939,-5.4284,1010.0,65.4
121,"The Saddle",1010,353870,"The Saddle",57.1601,-5.4139,1010.0,259.9
122,"Sgurr an Doire Leathain",1010,353422,"Sgurr An Doire Leathain",57.133,-5.2787,1010.0,462
123,"Sgurr Eilde Mor",1010,353430,"Sgurr Eilde Mor",56.7473,-4.8981,1008.0,343.2
124,"Beinn Dearg",1008,350319,"Beinn Dearg (Perth & Kinross)",56.8787,-3.8816,1008.0,198.1
125,"An Sgarsoch",1006,350099,"An Sgarsoch",56.9345,-3.7491,1006.0,428.8
126,"Carn Liath",1006,350791,"Carn Liath (Highland)",56.9794,-4.5111,1006.0,263.8
